date,open,high,low,close,pct_change,volume,ln_return
2012-07-24,1350.52,1351.53,1329.24,1338.31,-0.009,3891290000,-0.00908208
2012-07-23,1362.34,1362.34,1337.56,1350.52,-0.0089,3717180000,-0.008948968
2012-07-20,1376.51,1376.51,1362.19,1362.66,-0.0101,3925020000,-0.010112639
2012-07-19,1373.01,1380.39,1371.21,1376.51,0.0027,4043360000,0.002713429
2012-07-18,1363.58,1375.26,1358.96,1372.78,0.0067,3642630000,0.006658286
2012-07-17,1353.68,1365.36,1345.07,1363.67,0.0074,3566680000,0.007382334
2012-07-16,1356.5,1357.26,1348.51,1353.64,-0.0023,2862720000,-0.002316985
2012-07-13,1334.81,1357.7,1334.81,1356.78,0.0165,3212930000,0.016362745
2012-07-12,1341.29,1341.29,1325.41,1334.76,-0.005,3654440000,-0.004999618
2012-07-11,1341.4,1345,1333.25,1341.45,0,3426290000,-1.49091E-05
2012-07-10,1352.96,1361.54,1336.27,1341.47,-0.0081,3470600000,-0.008159129
2012-07-09,1354.66,1354.87,1346.65,1352.46,-0.0016,2904860000,-0.001640108
2012-07-06,1367.09,1367.09,1348.03,1354.68,-0.0094,2745140000,-0.00947749
2012-07-05,1373.72,1373.85,1363.02,1367.58,-0.0047,3041520000,-0.004697995
2012-07-03,1365.75,1374.81,1363.53,1374.02,0.0062,2116390000,0.006212765
2012-07-02,1362.33,1366.35,1355.7,1365.51,0.0025,3301650000,0.00245631
2012-06-29,1330.12,1362.17,1330.12,1362.16,0.0249,4590480000,0.024614798
2012-06-28,1331.52,1331.52,1313.29,1329.04,-0.0021,3969370000,-0.002112076
2012-06-27,1320.71,1334.4,1320.71,1331.85,0.009,3286910000,0.008944792
2012-06-26,1314.09,1324.24,1310.3,1319.99,0.0048,3412940000,0.004761353
2012-06-25,1334.9,1334.9,1309.27,1313.72,-0.016,3501820000,-0.016083465
2012-06-22,1325.92,1337.82,1325.92,1335.02,0.0072,5271490000,0.007148982
2012-06-21,1355.43,1358.27,1324.41,1325.51,-0.0223,4094470000,-0.022513259
2012-06-20,1358.04,1361.57,1346.45,1355.69,-0.0017,3695700000,-0.001687752
2012-06-19,1344.83,1363.46,1344.83,1357.98,0.0098,3815350000,0.009767871
2012-06-18,1342.42,1348.22,1334.46,1344.78,0.0014,3259430000,0.001443657
